protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
q8n4c6,0.0,0.0,0.017944100221752784,0.010490260594843589,0.0,0.013834482827870153,0.0,0.0
o60902,0.055353013960257366,0.039576219828273286,0.05081428032687813,0.03268367224329627,0.041005397269483296,0.025942266616170842,0.029243806939144943,0.034980121759882944
q18pe1,0.0,0.006221819662130931,0.0,0.0,0.0,0.0,0.0,0.0
p12821,0.12772636547111177,0.16545641225843707,0.07179805811640538,0.053761440150105325,0.03178125541395787,0.03804468887773866,0.03760702345466615,0.12752107087386094
q9hbx9,0.011611720349844416,0.02505744708229181,0.006369829373299816,0.0,0.006590019025447264,0.0,0.0,0.006306827780843043
q8izh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016330758129416145
q13424,0.0,0.009684512510259858,0.0379240248765873,0.0,0.03769428002213061,0.041194128887633116,0.0,0.014413601568904297
q0ge19,0.022734295604429078,0.009820061957775524,0.02836613230263699,0.010448434789935273,0.01976755662862128,0.02079246429711462,0.011633490525900049,0.018914806615519933
q99814,0.022164268370896845,0.028729823246326395,0.0,0.0,0.006585880439263296,0.0,0.0,0.016320488348107634
q9ui42,0.015033522156541506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q9ubf9,0.0,0.029209270849651362,0.014793235267237586,0.006609196879635218,0.006585959022296496,0.0,0.0,0.009994052171407738
o75326,0.01743074370210779,0.026041582166951068,0.0,0.0,0.0,0.0,0.0,0.006309389469317148
q9h869,0.0,0.0,0.0,0.0,0.020984313152941293,0.0,0.0,0.0
q9bx97,0.019324313043999373,0.016076267165667846,0.02122370766769594,0.019869017774579147,0.0,0.01787831137022896,0.0,0.014655037220938678
q92187,0.03992377569763348,0.026327713334979876,0.03829955185364897,0.028333962113217374,0.02526495629921808,0.03921648390628566,0.022940574480920434,0.03061974238238809
q9by44,0.009207915195371308,0.012452405044280392,0.0,0.0,0.0,0.0,0.0,0.0
q8td31,0.06314006019105664,0.02814654912903315,0.019573081249607834,0.017970833990213333,0.0,0.018781280661403756,0.0,0.025569721287501186
p04792,0.05922317970619891,0.05325623091265498,0.03831247865700132,0.028073903938135844,0.014360095187716396,0.02687944267687249,0.006896955904595314,0.03621738048921734
