protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
q8n4c6,0.1110454491324272,0.1110454491324272,0.11140767588475049,0.11112223726659061,0.1110454491324272,0.11119739205409558,0.1110454491324272,0.1110454491324272
o60902,0.13027110379778498,0.109997283128142,0.12370045905527877,0.10698130105591803,0.11023180616002397,0.10425804952675387,0.1058274031638506,0.10699312404365592
q18pe1,0.11110899412965936,0.1111280469627251,0.11110899412965936,0.11110899412965936,0.11110899412965936,0.11110899412965936,0.11110899412965936,0.11110899412965936
p12821,0.17678337003532074,0.21097994500303355,0.11384596197264855,0.09050647415085496,0.05983262426450744,0.07057815522532669,0.0689642381299892,0.17171227065151162
q9hbx9,0.1110773821289445,0.11188789242298698,0.11102442930014438,0.11099401922952913,0.11101904062957367,0.11099401922952913,0.11099401922952913,0.11101517860023392
q8izh2,0.1110994014097354,0.1110994014097354,0.1110994014097354,0.1110994014097354,0.1110994014097354,0.1110994014097354,0.1110994014097354,0.11120478872211685
q13424,0.10907601457042881,0.10913524702063551,0.11485987377776563,0.10907601457042881,0.11309904462873982,0.11733323727458443,0.10907601457042881,0.10926853901655924
q0ge19,0.11132925842456312,0.11066276040062864,0.11256338802589227,0.11067918087396175,0.11100499932933847,0.1114156962224508,0.11076014718900654,0.11098187063175441
q99814,0.11137535461466504,0.11191889892974059,0.11092431407197001,0.11092431407197001,0.1109493197583694,0.11092431407197001,0.11092431407197001,0.11113485633737484
q9ui42,0.1112667897731294,0.11109165127835882,0.11109165127835882,0.11109165127835882,0.11109165127835882,0.11109165127835882,0.11109165127835882,0.11109165127835882
q9ubf9,0.11092563762606968,0.11234356895338274,0.11104656984395683,0.11096407070646187,0.11095064361083809,0.11092563762606968,0.11092563762606968,0.1109925963810816
o75326,0.11116132784559997,0.11154378704763677,0.11103910244880119,0.11103910244880119,0.11103910244880119,0.11103910244880119,0.11103910244880119,0.111060270413956
q9h869,0.11105987762892132,0.11105987762892132,0.11105987762892132,0.11105987762892132,0.11152097896862952,0.11105987762892132,0.11105987762892132,0.11105987762892132
q9bx97,0.11129429429278619,0.11108034769284934,0.11135809111625462,0.11119591549768022,0.11093021646346836,0.11118185563841666,0.11093021646346836,0.11109884637160795
q92187,0.11521772301746688,0.10880324952824269,0.1144460097253581,0.11006860517320213,0.10894269214047367,0.11547364929228353,0.10920632120042632,0.10984152337156103
q9by44,0.11114793097885367,0.11120632931409333,0.111092248529579,0.111092248529579,0.111092248529579,0.111092248529579,0.111092248529579,0.111092248529579
q8td31,0.1394050966715251,0.10825616973300971,0.10762197607600339,0.10747429413135341,0.10725364313468824,0.10754483295514305,0.10725364313468824,0.10793670102890064
p04792,0.13387501584998615,0.12319626977946452,0.11088268248622124,0.10569562033343533,0.10418839644625638,0.10571293019488183,0.10407583995381071,0.10837171067879121
