protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
q8n4c6,0.0,0.0,0.1610670008080563,0.09440289228227708,0.0,0.12441373464172541,0.0,0.0
o60902,0.42490630958481634,0.3597927030813,0.4107848969596018,0.305508270330465,0.3719924284825343,0.24882746928345081,0.27633491954694667,0.3269380352480423
q18pe1,0.0,0.05598784314294547,0.0,0.0,0.0,0.0,0.0,0.0
p12821,0.722502153033922,0.7842281514295497,0.6306596814883504,0.5940065686405648,0.5311693378759326,0.5390434016910444,0.5453119540562673,0.7426439030246342
q9hbx9,0.10453721655381577,0.22395137257178188,0.057373223293763265,0.0,0.05935935843145622,0.0,0.0,0.05681049979259101
q8izh2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14685301161107478
q13424,0.0,0.0887386318778267,0.33017644569211224,0.0,0.33328557412546034,0.351086613175346,0.0,0.13190989555300972
q0ge19,0.204207734122597,0.0887386318778267,0.2520014082741726,0.09440289228227708,0.17807807529436867,0.1866206019625881,0.10503318044574364,0.170431499377773
q99814,0.19900514299218605,0.2567021613066631,0.0,0.0,0.05935935843145622,0.0,0.0,0.14685301161107478
q9ui42,0.13511239236069034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q9ubf9,0.0,0.2599994919315037,0.133216499060035,0.05956159356408992,0.05935935843145622,0.0,0.0,0.09004251181848377
o75326,0.15680582483072364,0.23346510689859887,0.0,0.0,0.0,0.0,0.0,0.05681049979259101
q9h869,0.0,0.0,0.0,0.0,0.18816471436144863,0.0,0.0,0.0
q9bx97,0.17363255831572244,0.14472647502077216,0.19058972235379829,0.17868478069226973,0.0,0.16080241931176642,0.0,0.13190989555300972
q92187,0.34650724430286717,0.2419754322516428,0.33465170123063576,0.2574209246009025,0.23191051921721154,0.33961413834789306,0.21006636089148728,0.27876290716408453
q9by44,0.08284378408378246,0.11197568628589094,0.0,0.0,0.0,0.0,0.0,0.0
q8td31,0.4529250486431723,0.2599994919315037,0.18186881493223267,0.16721053285774234,0.0,0.17463675515900823,0.0,0.23689552342955852
p04792,0.44237664010857364,0.4322876902684615,0.34552265329405424,0.26561085359612635,0.13782816203648723,0.2542682586446164,0.06626855865545944,0.33419589173565784
p49908,0.2870515182063794,0.1774772637556534,0.1483076307598796,0.0,0.0,0.0,0.0,0.09004251181848377
q0vd83,0.08284378408378246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q969v6,0.3472651166314449,0.37436274269115627,0.3516567231618546,0.3148069787826122,0.3044709490992174,0.2593979713026701,0.29552010578967625,0.33419589173565784
p49419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05681049979259101
q13275,0.12136395003881455,0.0,0.0,0.05956159356408992,0.05935935843145622,0.0,0.0,0.24553089513819173
p35408,0.0,0.0,0.0,0.0,0.05935935843145622,0.0,0.0,0.0
q8nfm7,0.2681004847540927,0.11197568628589094,0.057373223293763265,0.09440289228227708,0.0,0.0,0.0,0.13190989555300972
q9ubf8,0.0,0.05598784314294547,0.0,0.0,0.0,0.0,0.0,0.0
p42575,0.19900514299218605,0.2131655901656825,0.0,0.0,0.0,0.0,0.0,0.09004251181848377
q8wwm9,0.0,0.0,0.0,0.0,0.11871871686291244,0.0,0.0,0.2036635114036658
q01955,0.0,0.14472647502077216,0.0,0.0,0.0,0.0,0.0,0.24952974803576664
q8wwx8,0.05226860827690789,0.11197568628589094,0.0,0.0,0.0,0.0,0.0,0.05681049979259101
