protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
q9uhb7,0.0053344916868608245,0.0,0.0,0.0,0.013901374671778474,0.0,0.0,0.0
o60296,0.0,0.0,0.00915179733059042,0.0060505271808120285,0.005984687550782876,0.0,0.0,0.005689014686956618
q9p0k7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01598686513183004
q9byb4,0.0,0.0,0.0,0.006040131219627237,0.030878447957430805,0.0,0.0,0.0
o60356,0.022714799418911955,0.012833486234236559,0.0,0.006045984438426162,0.0,0.0,0.0,0.018073648334160166
p32241,0.008450231743261141,0.019854049754536977,0.022611439155425666,0.0,0.0,0.0,0.0,0.013208269893206434
q9ns00,0.0,0.021077613345384133,0.0,0.0,0.0,0.0,0.0,0.02041337706621726
q13478,0.02233982882394906,0.008751385917302432,0.0,0.0,0.0,0.0,0.0,0.027150744619291553
o14786,0.043782792919518185,0.034722809644513845,0.018533165700838013,0.015086009552434039,0.052715979007281866,0.006128531476530436,0.0,0.04247987000142982
p29323,0.0885996810622431,0.1153073618860799,0.04414187553563766,0.047820457458943554,0.05934930954767654,0.02374968815523746,0.03125831835490615,0.11178563647837023
o95319,0.010659777109456873,0.02398350275111858,0.0,0.0,0.02596786842479486,0.0,0.0,0.013203540368921756
o75084,0.02135850675256345,0.01283546511635509,0.009149163082872046,0.0,0.018981886605305504,0.0,0.0,0.0
q13029,0.013797123813713374,0.005526104285056277,0.00915125386391145,0.0,0.005984332158486652,0.0,0.0,0.0
q9ubp9,0.012394009687612478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q99985,0.010641220390830144,0.0055096245870288295,0.0,0.02826764255839017,0.032303940835822616,0.0,0.0,0.01317788615112862
q13901,0.0,0.0,0.026130305684997364,0.0,0.03605179577673162,0.028864319776939592,0.0,0.008995808331527435
q9hc98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040113112699618564
q5hyk7,0.005334784596777937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o75448,0.01601741343660246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q96nl8,0.0,0.0,0.0,0.0,0.011975111504481974,0.0,0.0,0.0
q15120,0.008455985745522938,0.015527510107432826,0.0,0.0,0.0,0.0,0.0,0.0
o60331,0.005334784596777937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q6zvm7,0.008456776493730713,0.0,0.005773432761561877,0.0,0.0,0.0,0.0,0.0
q9nzs2,0.10983155222063487,0.11853622017892168,0.09412662653498943,0.09067925971818835,0.08042036056337826,0.07541818908111377,0.08023079654310614,0.1046762761508421
q8nfp9,0.01067115357529895,0.0,0.0,0.014058277237935292,0.015483708901818447,0.0,0.0,0.0
q9nvd7,0.016018885689972406,0.015529315010291467,0.0,0.0,0.009482799609698295,0.0,0.0,0.014716006930729613
q9ny47,0.008449166456232116,0.014286669144627655,0.021432572309814935,0.0170028242939584,0.005979488744433434,0.0,0.006579469713152775,0.00901143050052804
q5vz66,0.005334173338561046,0.01283544418761345,0.0,0.0,0.0059844228511019915,0.0,0.0,0.013213729980676
q7z6z7,0.01914620810232552,0.005522424403753727,0.005769065464932384,0.006046139018876347,0.023465459824953964,0.0,0.0,0.00901272415042624
q6nvy1,0.0,0.01429542610541345,0.0,0.0,0.0,0.0,0.0,0.009017624967584854
p98177,0.027118789037613018,0.022151829504160316,0.022649112959913287,0.01813331505462058,0.013855432451754635,0.006338436871909318,0.0,0.020400942970779053
q6zmj4,0.008455349456137469,0.012838765543243558,0.005773074831988001,0.0,0.0,0.0,0.0,0.0
q9p267,0.0,0.01551372122207493,0.0,0.006046998747535947,0.022871825430988,0.006357484352345859,0.006581349938884766,0.0
q96ax9,0.010668928245128304,0.01915941216966212,0.011544911284548756,0.006047831928615435,0.00598202162733767,0.0,0.0,0.01597368513128175
q8iyr6,0.005325126927498389,0.0,0.0,0.0,0.0,0.0,0.0,0.041718288339791645
q8tdw0,0.01067129786866984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q9ukl6,0.0053340491121932725,0.0,0.009151179426526988,0.0,0.009486037486911398,0.010084405425695182,0.0,0.00568863058040738
