protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
q9uhb7,0.11111402927407188,0.11110388313211939,0.11110388313211939,0.11110388313211939,0.11115878880109238,0.11110388313211939,0.11110388313211939,0.11110388313211939
o60296,0.11110216673959906,0.11110216673959906,0.11113641096889813,0.11112107404810417,0.11111592486529341,0.11110216673959906,0.11110216673959906,0.11111575641970908
q9p0k7,0.11109680563542364,0.11109680563542364,0.11109680563542364,0.11109680563542364,0.11109680563542364,0.11109680563542364,0.11109680563542364,0.11122555491661096
q9byb4,0.11091127199961111,0.11091127199961111,0.11091127199961111,0.11093014682174943,0.11269094918097292,0.11091127199961111,0.11091127199961111,0.11091127199961111
o60356,0.11138011517400506,0.11112689257186302,0.11101875111201372,0.11103764422489104,0.11101875111201372,0.11101875111201372,0.11101875111201372,0.11136159246917232
p32241,0.1110517691721251,0.11134937312796432,0.11139505702340034,0.11101964979485944,0.11101964979485944,0.11101964979485944,0.11101964979485944,0.11110555170221287
q9ns00,0.11106812674608964,0.11130671291892545,0.11106812674608964,0.11106812674608964,0.11106812674608964,0.11106812674608964,0.11106812674608964,0.11121639985844711
q13478,0.11159055842129519,0.11101486418044317,0.11097792654858685,0.11097792654858685,0.11097792654858685,0.11097792654858685,0.11097792654858685,0.11152701810674077
o14786,0.11719897773088832,0.11074829469374822,0.10738122305219584,0.10718236738444326,0.12110170153922672,0.10706875261538679,0.10703857339500267,0.11524153619410546
p29323,0.15329236348368627,0.18428877777939115,0.0901121978611786,0.09274348005811751,0.1060651813570379,0.06439911674453266,0.07318066490233872,0.17647491069163238
o95319,0.11101814899371258,0.11157280766910656,0.1109574214548,0.1109574214548,0.1115561682546337,0.1109574214548,0.1109574214548,0.11106576780854725
o75084,0.1112209880465371,0.11114402797970034,0.1111044215326762,0.11107018716021505,0.11117962664001112,0.11107018716021505,0.11107018716021505,0.11107018716021505
q13029,0.11117577565687799,0.11110724118848508,0.11112981128863861,0.11109556909288518,0.11110932640157249,0.11109556909288518,0.11109556909288518,0.11109556909288518
q9ubp9,0.11118313579107028,0.11110210802611623,0.11110210802611623,0.11110210802611623,0.11110210802611623,0.11110210802611623,0.11110210802611623,0.11110210802611623
q99985,0.1108248867395226,0.11077590220373222,0.11076426491612741,0.1117928538945445,0.11269932827930278,0.11076426491612741,0.11076426491612741,0.11084996921838812
q13901,0.1108132151663474,0.1108132151663474,0.1111815981971991,0.1108132151663474,0.11241870463924045,0.111477470672644,0.1108132151663474,0.1108561506591794
q9hc98,0.11094065954821333,0.11094065954821333,0.11094065954821333,0.11094065954821333,0.11094065954821333,0.11094065954821333,0.11094065954821333,0.11247472361429346
q5hyk7,0.11112013039916782,0.11110998370010404,0.11110998370010404,0.11110998370010404,0.11110998370010404,0.11110998370010404,0.11110998370010404,0.11110998370010404
o75448,0.11121080507528101,0.11109864936558989,0.11109864936558989,0.11109864936558989,0.11109864936558989,0.11109864936558989,0.11109864936558989,0.11109864936558989
q96nl8,0.11110385276074826,0.11110385276074826,0.11110385276074826,0.11110385276074826,0.11116917791401379,0.11110385276074826,0.11110385276074826,0.11110385276074826
q15120,0.11112738746880703,0.11120588898736272,0.11109524622054719,0.11109524622054719,0.11109524622054719,0.11109524622054719,0.11109524622054719,0.11109524622054719
o60331,0.11112013039916782,0.11110998370010404,0.11110998370010404,0.11110998370010404,0.11110998370010404,0.11110998370010404,0.11110998370010404,0.11110998370010404
q6zvm7,0.1111377793716697,0.11110563511777156,0.11112277480392933,0.11110563511777156,0.11110563511777156,0.11110563511777156,0.11110563511777156,0.11110563511777156
q9nzs2,0.13857516915915175,0.14749120756623865,0.12314984278106866,0.11808805230279878,0.10685094308843111,0.10322217946083936,0.1086798855374794,0.13322747171289867
