protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
q9uhb7,0.04800916429466222,0.0,0.0,0.0,0.12505870945259762,0.0,0.0,0.0
o60296,0.0,0.0,0.0823474255719089,0.05444986230238166,0.05385985454414525,0.0,0.0,0.051198991666563796
q9p0k7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14373374125951413
q9byb4,0.0,0.0,0.0,0.05444986230238166,0.27401000862848723,0.0,0.0,0.0
o60356,0.20393944990472904,0.11548497341395073,0.0,0.05444986230238166,0.0,0.0,0.0,0.1622969637324772
p32241,0.07609272509800068,0.1783040999406473,0.20298422353404574,0.0,0.0,0.0,0.0,0.11888037718049842
q9ns00,0.0,0.1893651586022204,0.0,0.0,0.0,0.0,0.0,0.1835464651993662
q13478,0.20019461449066356,0.0788307582224121,0.0,0.0,0.0,0.0,0.0,0.2434454455987158
o14786,0.37357657692247115,0.31352906824012666,0.17259223888546527,0.1407508522210871,0.43530337177142253,0.05723921617491328,0.0,0.36861596438526684
p29323,0.577978439687063,0.6256884617473144,0.4898546099568003,0.5156206930015669,0.5595550659352967,0.36878903556163684,0.4271390318278892,0.6334364247034612
o95319,0.09601832858932444,0.21495831513218594,0.0,0.0,0.23277841854088813,0.0,0.0,0.11888037718049842
o75084,0.19203665717864887,0.11548497341395073,0.0823474255719089,0.0,0.17073169949353237,0.0,0.0,0.0
q13029,0.12410188939266288,0.0497366708591176,0.0823474255719089,0.0,0.05385985454414525,0.0,0.0,0.0
q9ubp9,0.11147382738783941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q99985,0.09601832858932444,0.0497366708591176,0.0,0.25285733008529654,0.28663827308503337,0.0,0.0,0.11888037718049842
q13901,0.0,0.0,0.23502365597093605,0.0,0.32069214720472344,0.2589251406833609,0.0,0.0811484818662386
q9hc98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3566411315414953
q5hyk7,0.04800916429466222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o75448,0.14402749288398664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q96nl8,0.0,0.0,0.0,0.0,0.1077197090882905,0.0,0.0,0.0
q15120,0.07609272509800068,0.1396284877431028,0.0,0.0,0.0,0.0,0.0,0.0
o60331,0.04800916429466222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q6zvm7,0.07609272509800068,0.0,0.05195544092332841,0.0,0.0,0.0,0.0,0.0
