protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
p28076,0.010053956188760513,0.010632356764641112,0.0,0.0,0.0,0.0,0.0,0.0
o08573,0.005023701020072719,0.02030484855085759,0.0,0.0,0.0,0.0,0.0,0.005372423876379199
q63488,0.015085451965951414,0.0,0.0,0.011240462993507424,0.008978443869910107,0.0,0.006089146196082412,0.0
p56677,0.0,0.0,0.0,0.0,0.01133542845310606,0.0,0.0,0.0
p26645,0.03816818858940665,0.02431414518785229,0.014964390794857979,0.02291329038932388,0.008861359872348514,0.00906102153148099,0.020103364452597257,0.005301823282904544
p49586,0.0,0.005312769311138503,0.0,0.0,0.005665420025449282,0.0,0.0,0.0
p51590,0.0150803225849971,0.020292402261613288,0.0,0.0,0.0,0.0,0.0,0.022552747575640623
q62881,0.07670953181633276,0.03968087455031734,0.047166928230749694,0.03615941485551379,0.0293424754951848,0.04187250136823251,0.029777397064877108,0.03475403867230707
q8r516,0.0,0.014923344240937882,0.0,0.0,0.0,0.0,0.0,0.015099831991360129
p62957,0.005026201565007075,0.005312819786091036,0.0,0.0,0.0,0.0,0.0,0.0
q02152,0.0,0.019700474009920366,0.0,0.014527697389278964,0.0,0.0,0.014148123163228537,0.01994073134950925
q9wu79,0.011621256303850268,0.015887011631902592,0.0,0.0,0.03229942134022062,0.0,0.0,0.0
q64163,0.007957229335483401,0.005305204325988687,0.017942718396961897,0.0,0.017020084883229456,0.01630425858582372,0.0,0.0
q9epz7,0.01411891115770999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q60996,0.0,0.0,0.0,0.0,0.0056655139810392295,0.0,0.0,0.0
o09047,0.014124777816374157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8r4z9,0.02692870318245232,0.028358017467478045,0.0,0.0,0.0,0.0,0.0,0.022931807118980255
q99lj8,0.01411891115770999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p16310,0.022653254737284228,0.021105700572684315,0.023940873746616954,0.0,0.038069388980028526,0.0,0.0,0.028393213635500656
q60700,0.015968583307521097,0.014935355727667476,0.0,0.0,0.0056598915430297785,0.0,0.0,0.016155961057719055
q9qxz0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02154541794677866
q9epm5,0.02171459578269848,0.026272830982721446,0.027892221437531582,0.01861657551314084,0.0,0.017356357674861985,0.0,0.010689010145414131
q9eqs9,0.0,0.008421042415605345,0.0,0.0,0.013162133089056265,0.0,0.0,0.0
q6t707,0.0,0.005312640161033497,0.0,0.0,0.008981224224839317,0.0,0.0,0.0
q62513,0.007967268501442328,0.0,0.0,0.0,0.0,0.0,0.0,0.0053750057699890426
p57110,0.014121737850251472,0.012337481852751351,0.0,0.0,0.0,0.0,0.0,0.013906197952981562
q9qur8,0.015082620662127875,0.022226727501166787,0.0,0.0,0.0,0.0,0.0,0.005372243856535728
q78eg7,0.0,0.0,0.008535701593731286,0.0,0.0,0.0,0.0,0.0
q07731,0.0,0.020283028436125165,0.0,0.02257960136639179,0.014644105235215777,0.0,0.0,0.01611625460012379
p83953,0.0,0.0,0.0,0.0,0.008981373166259942,0.0,0.0,0.0
q9qxt8,0.02293125421290076,0.024257121033271392,0.012487076244174267,0.0,0.008955888864404722,0.0,0.0,0.01072585283614752
q04573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01510929386453279
q8c0l6,0.03378602539390898,0.03384783979736413,0.02737926837119644,0.0297805517286931,0.034164015690769295,0.011138853634821304,0.02196185095501906,0.037473549219953266
p97367,0.011639679760317568,0.0,0.0,0.017784789328242148,0.029066372370690423,0.0,0.01932369903678794,0.0
o08912,0.0,0.008421042415605345,0.0,0.0,0.013162133089056265,0.0,0.0,0.0
q91ye3,0.011671226338771485,0.01768936702616069,0.0,0.0,0.011328554169461045,0.0,0.0,0.017868160687129465
a8wcf8,0.0,0.008423006876249091,0.0,0.0,0.0,0.0,0.0,0.005374883193253743
q8ce90,0.02101816961612361,0.01907638585671808,0.0,0.0,0.0,0.0,0.0,0.022070025469941926
o08832,0.014128941570176351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
