protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
p28076,0.11113965671712908,0.11119444904560953,0.11109512774818021,0.11109512774818021,0.11109512774818021,0.11109512774818021,0.11109512774818021,0.11109512774818021
o08573,0.11106720505596442,0.11154752869822576,0.11105233966803917,0.11105233966803917,0.11105233966803917,0.11105233966803917,0.11105233966803917,0.1110712282375749
q63488,0.11117294999374613,0.1110694645170115,0.1110694645170115,0.11122998751528673,0.11111813147099342,0.1110694645170115,0.11113160843491632,0.1110694645170115
p56677,0.11110300802070598,0.11110300802070598,0.11110300802070598,0.11110300802070598,0.11117593583435219,0.11110300802070598,0.11110300802070598,0.11110300802070598
p26645,0.11906190108478666,0.11091921309583207,0.11002191116667549,0.11094336278508267,0.10966908804846892,0.10973147338077112,0.11044847330484729,0.10961160874142736
p49586,0.11110656033187467,0.11112314410349053,0.11110656033187467,0.11110656033187467,0.11113093357338664,0.11110656033187467,0.11110656033187467,0.11110656033187467
p51590,0.11113514877879944,0.11147915326547198,0.11092834449677337,0.11092834449677337,0.11092834449677337,0.11092834449677337,0.11092834449677337,0.1118156309750884
q62881,0.16671964879303014,0.10630675820093184,0.12077652232316916,0.10532633020577058,0.09666660156556316,0.1137425158713532,0.0983894881119056,0.10137848314899861
q8r516,0.1110875826029052,0.11118658646440736,0.1110875826029052,0.1110875826029052,0.1110875826029052,0.1110875826029052,0.1110875826029052,0.11120033531525618
p62957,0.11112248870757228,0.1111241998495799,0.11110761592040684,0.11110761592040684,0.11110761592040684,0.11110761592040684,0.11110761592040684,0.11110761592040684
q02152,0.1109606514731632,0.11135427745046024,0.1109606514731632,0.1112269994891423,0.1109606514731632,0.1109606514731632,0.11120677954430394,0.1114086861502776
q9wu79,0.11065380983580542,0.11076550223028735,0.11053574392523274,0.11053574392523274,0.11536622438251082,0.11053574392523274,0.11053574392523274,0.11053574392523274
q64163,0.11099539007908146,0.11096491307825454,0.11148475378464735,0.11094835292068603,0.1112867133166399,0.11147481805863246,0.11094835292068603,0.11094835292068603
