protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
p28076,0.09046236497157523,0.09561949230289321,0.0,0.0,0.0,0.0,0.0,0.0
o08573,0.04523118248578761,0.18202867233203482,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
q63488,0.1356935474573628,0.0,0.0,0.10105604832476141,0.08080088956727881,0.0,0.054792207922091676,0.0
p56677,0.0,0.0,0.0,0.0,0.10195937068607551,0.0,0.0,0.0
p26645,0.3205743251338329,0.2192058932733803,0.1360128235928203,0.20653142120553045,0.08080088956727881,0.08257449984325832,0.18201577487730627,0.048369176803266245
p49586,0.0,0.047809746151446605,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
p51590,0.1356935474573628,0.18202867233203482,0.0,0.0,0.0,0.0,0.0,0.20169583965112345
q62881,0.4601109249669897,0.3732676569378212,0.3905306041561807,0.34330840906420096,0.3035430543741993,0.36813412335271173,0.3026481551668313,0.34281474325501743
q8r516,0.0,0.13421892618058823,0.0,0.0,0.0,0.0,0.0,0.13578944657452396
p62957,0.04523118248578761,0.047809746151446605,0.0,0.0,0.0,0.0,0.0,0.0
q02152,0.0,0.17691708357305624,0.0,0.13061304769528662,0.0,0.0,0.12722356695521456,0.1789872229765952
q9wu79,0.10502355337872746,0.1434292384543398,0.0,0.0,0.27997294280107443,0.0,0.0,0.0
q64163,0.0716897281032489,0.047809746151446605,0.1609432481828094,0.0,0.15293905602911326,0.14625956668750212,0.0,0.0
q9epz7,0.12697998278196154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q60996,0.0,0.0,0.0,0.0,0.050979685343037755,0.0,0.0,0.0
o09047,0.12697998278196154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q8r4z9,0.2390649922721451,0.2509020822389302,0.0,0.0,0.0,0.0,0.0,0.2054687569452119
q99lj8,0.12697998278196154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p16310,0.2046060563201811,0.19123898460578642,0.21605386668580065,0.0,0.3249975042595246,0.0,0.0,0.2556505544005238
q60700,0.1433794562064978,0.13421892618058823,0.0,0.0,0.050979685343037755,0.0,0.0,0.14510753040979874
q9qxz0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19347670721306498
q9epm5,0.19548591835030268,0.2345971937689639,0.24648119143227182,0.16785046304415996,0.0,0.15629612651217994,0.0,0.09673835360653249
q9eqs9,0.0,0.07577665481904049,0.0,0.0,0.11837116366651684,0.0,0.0,0.0
q6t707,0.0,0.047809746151446605,0.0,0.0,0.08080088956727881,0.0,0.0,0.0
q62513,0.0716897281032489,0.0,0.0,0.0,0.0,0.0,0.0,0.048369176803266245
